Datasets,GANomaly,DeepSAD,REPEN,DevNet,PReNet,FEAWAD,XGBOD,NB,SVM,MLP,ResNet,col,RF,LGB,XGB,CatB
vertebral,38.43(16),79.25(13),78.61(14),80.04(12),81.04(11),88.98(6),93.81(2),86.29(8),83.22(10),68.14(15),85.33(9),92.07(5),86.46(7),92.69(4),92.99(3),94.47(1)
vowels,78.64(15),90.26(11),96.92(4),97.65(2),98.33(1),96.20(7),95.90(9),95.90(8),88.96(12),19.32(16),87.91(14),96.87(5),88.04(13),96.87(6),94.64(10),97.04(3)
Waveform,53.30(16),80.11(14),91.65(1),91.35(2),91.04(3),84.40(13),90.07(5),87.06(9),86.50(10),84.98(12),75.47(15),85.19(11),87.23(8),89.35(6),88.01(7),90.53(4)
WBC,94.03(12),94.85(10),97.74(5),98.66(3),99.03(2),86.66(15),93.10(13),98.14(4),95.53(9),91.41(14),77.28(16),96.51(7),94.32(11),96.70(6),96.40(8),99.35(1)
WDBC,97.53(13),98.77(11),100.00(1),100.00(1),100.00(1),100.00(1),98.28(12),93.55(15),93.71(14),99.92(7),92.99(16),99.97(6),99.89(8),99.72(9),98.96(10),100.00(1)
Wilt,36.73(16),96.83(2),62.64(15),67.97(13),68.73(12),88.56(8),94.96(5),80.31(10),83.22(9),66.33(14),95.63(3),74.33(11),93.84(6),93.66(7),94.98(4),97.59(1)
wine,66.97(16),97.51(13),100.00(1),100.00(1),100.00(1),100.00(1),99.39(9),100.00(1),80.23(15),99.87(8),98.59(11),100.00(1),94.77(14),98.71(10),98.47(12),99.99(7)
WPBC,47.93(16),80.12(10),73.53(14),79.68(11),80.45(8),78.50(12),87.98(3),67.98(15),77.10(13),80.32(9),90.04(1),84.27(7),85.18(6),86.86(5),87.90(4),89.28(2)
yeast,48.40(15),65.31(10),47.77(16),66.29(8),66.76(4),67.70(3),66.39(6),64.52(12),55.68(14),64.68(11),66.33(7),70.07(2),63.25(13),66.70(5),65.98(9),72.44(1)
CIFAR10,60.91(14),70.82(11),80.37(6),82.32(2),76.80(8),77.06(7),81.58(3),53.08(16),76.43(9),73.54(10),59.59(15),64.30(12),62.01(13),80.67(5),81.27(4),83.26(1)
FashionMNIST,80.05(14),92.31(9),95.42(2),95.72(1),94.21(7),93.89(8),95.23(3),61.06(16),85.88(12),86.95(11),73.16(15),88.19(10),81.58(13),94.93(5),95.07(4),94.29(6)
MNIST-C,74.64(15),91.50(11),82.62(13),95.31(1),94.88(2),94.03(6),94.49(3),70.72(16),91.67(10),92.31(8),79.21(14),89.13(12),92.28(9),94.23(4),94.16(5),93.72(7)
MVTec-AD,74.51(14),83.54(9),73.42(15),86.17(6),83.93(7),80.52(10),89.12(2),58.26(16),79.11(12),79.73(11),74.68(13),83.71(8),86.29(5),88.26(4),88.94(3),89.35(1)
SVHN,57.55(15),68.91(11),78.02(2),79.40(1),76.37(3),74.18(8),75.96(5),51.11(16),73.14(9),69.50(10),62.83(13),64.13(12),60.57(14),74.70(7),76.21(4),75.12(6)
Agnews,61.44(16),86.32(11),91.00(4),91.20(2),91.16(3),89.20(8),89.81(5),68.43(14),88.88(9),93.41(1),82.48(12),82.25(13),64.12(15),88.11(10),89.48(6),89.39(7)
Amazon,57.16(14),69.07(13),84.30(4),87.13(2),86.48(3),83.44(5),82.27(7),53.06(16),80.02(9),89.52(1),70.41(12),72.21(11),57.03(15),79.07(10),82.33(6),81.85(8)
Imdb,49.25(16),70.46(13),79.86(9),82.26(3),81.45(4),82.36(2),81.41(5),55.29(15),80.89(6),85.52(1),77.27(11),71.30(12),57.68(14),78.09(10),80.52(8),80.63(7)
Yelp,68.20(14),74.28(13),90.23(2),90.19(3),90.07(4),89.33(5),87.39(6),56.13(16),84.87(10),93.15(1),76.85(12),83.94(11),62.07(15),85.29(9),86.93(7),86.58(8)
20news,57.80(15),70.58(9),58.48(14),77.92(2),77.59(3),70.10(10),73.52(7),51.95(16),71.51(8),79.34(1),65.87(12),64.62(13),68.89(11),74.86(6),75.83(4),75.01(5)
