Datasets,GANomaly,DeepSAD,REPEN,DevNet,PReNet,FEAWAD,XGBOD,NB,SVM,MLP,ResNet,Transformer,RF,LGB,XGB,CatB
shuttle,44.74,97.91,97.06,96.45,96.56,96.76,98.95,92.84,52.96,95.83,96.46,95.91,81.84,95.38,96.64,98.5
skin,22.12,96.2,51.54,70.15,67.49,82.06,98.57,88.1,96.7,93.85,98.19,95.43,80.4,97.26,96.68,98.99
smtp,21.46,61.13,41.68,50.02,66.68,16.99,50.02,0.04,17.73,38.92,11.71,33.94,50.01,0.04,50.01,28.13
SpamBase,41.1,70.26,81.13,86.07,88.58,82.31,92.34,68.5,61.92,88.77,60.42,87.87,79.6,86.29,83.82,91.77
speech,1.61,2.76,9.01,12.45,11.36,9.48,3.5,7.26,10.3,4.15,9.32,7.58,3.95,2.76,3.23,3.03
Stamps,30.56,36.56,79.44,72.94,78.47,75.58,78.11,74.59,59.74,57.5,41.58,80.52,50.16,71.26,75.95,82.5
thyroid,54.98,64.25,91.72,92.71,91.21,89.96,87.71,88.14,35.73,54.65,42.59,89.31,71.75,75.19,90.51,84.66
vertebral,10.64,26.56,25.42,31.74,33.93,42.06,61.2,39.68,42.7,19.15,39.21,48.9,40.44,58.4,62.91,58.26
vowels,25.76,24.81,54.26,73.18,82.43,55.35,63.65,36.38,39.77,2.06,56.06,58.06,44.87,46.55,52.18,59.25
Waveform,4.41,21.36,12.78,15.41,16.9,15.51,20.23,12.05,16.97,5.16,20.67,21.79,9.44,16.87,17.85,28.47
WBC,42.29,61.2,81.81,84.41,85.07,80.89,63.06,68.11,15.8,63.69,56.27,83.56,73.11,78.36,74.73,91.59
WDBC,59.89,50.37,100.0,100.0,100.0,96.1,86.9,57.52,10.09,22.66,89.63,98.06,88.09,86.37,83.37,98.4
Wilt,5.13,38.75,6.18,8.2,8.53,41.27,51.14,33.14,28.18,8.07,55.4,8.88,39.92,51.92,53.55,69.07
wine,15.25,50.17,98.7,100.0,100.0,100.0,83.1,98.99,12.2,93.44,89.1,98.45,57.15,82.75,85.88,97.51
WPBC,22.58,36.16,34.87,53.26,52.31,54.67,62.57,33.95,21.45,46.96,63.57,52.49,56.33,62.91,64.87,66.47
yeast,33.14,40.27,35.44,44.13,45.6,46.6,45.33,47.21,38.38,34.17,45.07,46.35,42.91,43.07,43.59,49.3
CIFAR10,9.18,14.16,21.74,23.84,22.31,24.5,22.4,5.43,15.83,16.41,12.87,13.76,9.95,20.25,22.49,20.37
FashionMNIST,20.9,51.76,64.26,71.07,68.93,65.01,65.03,7.28,39.02,42.65,27.52,37.51,27.57,57.04,60.52,63.93
MNIST-C,25.93,58.52,42.26,82.22,80.7,76.31,74.22,21.01,52.52,62.14,32.58,61.33,63.21,66.4,74.58,72.81
MVTec-AD,57.66,59.33,55.4,65.28,63.69,59.27,69.78,31.48,47.98,59.24,50.1,58.78,60.67,68.09,69.61,72.27
SVHN,8.0,10.49,17.94,20.22,18.04,18.69,16.02,5.09,13.43,12.13,10.97,11.23,6.64,14.8,17.08,14.08
Agnews,6.51,26.27,42.93,46.31,46.49,39.46,33.28,6.46,32.96,53.54,22.19,24.5,7.65,24.5,31.99,31.72
Amazon,6.11,9.25,21.31,26.26,26.42,25.49,15.06,5.02,15.85,26.63,14.13,11.45,6.27,14.39,16.19,14.93
Imdb,4.95,11.65,18.69,23.21,20.68,23.16,17.45,5.69,18.63,24.11,14.5,7.82,5.64,13.75,16.2,18.89
Yelp,8.6,13.11,33.06,37.57,37.33,34.94,23.36,5.54,26.55,43.95,19.56,16.36,6.66,18.76,25.52,19.68
20news,7.16,12.48,6.9,20.58,21.5,14.49,15.29,6.06,17.0,19.03,14.73,10.85,11.73,13.42,15.35,14.12
