Datasets,GANomaly,DeepSAD,REPEN,DevNet,PReNet,FEAWAD,XGBOD,NB,SVM,MLP,ResNet,Transformer,RF,LGB,XGB,CatB
CIFAR10,60.37,64.91,71.88,71.06,65.98,67.83,75.5,50.54,61.36,64.51,55.79,61.16,54.31,70.83,75.67,73.73
FashionMNIST,79.87,86.83,87.79,88.59,86.04,81.73,91.92,52.53,68.13,74.74,62.5,77.93,61.54,83.07,90.37,90.15
MNIST-C,74.58,85.83,82.41,93.29,91.68,87.72,90.87,60.2,83.56,84.27,60.69,84.12,82.86,82.09,90.65,88.24
MVTec-AD,74.14,68.81,72.72,71.58,71.29,62.91,76.56,53.39,56.56,64.59,54.82,69.49,70.6,76.56,77.29,82.41
SVHN,57.94,59.56,64.82,67.36,62.21,63.69,67.23,49.84,62.54,58.4,57.44,56.13,52.59,63.56,66.56,63.93
Agnews,59.61,71.91,84.3,84.67,84.73,76.0,78.14,52.97,75.65,82.97,64.24,67.08,52.85,73.49,78.08,75.48
Amazon,58.78,61.53,69.54,82.86,83.35,72.33,74.7,51.41,72.21,78.45,59.85,66.8,51.11,68.07,76.52,69.5
Imdb,49.59,59.52,72.56,77.35,77.09,72.52,69.03,52.76,72.8,73.43,65.74,60.16,51.58,63.62,69.74,71.08
Yelp,67.87,64.79,79.86,86.8,86.73,82.74,80.12,58.21,76.4,86.15,63.24,70.17,53.62,75.66,80.88,74.69
20news,57.42,64.54,56.56,66.66,65.49,61.3,64.95,56.48,51.87,58.33,60.13,56.89,58.58,64.4,65.12,64.81
