Datasets,PCA,OCSVM,LOF,CBLOF,COF,HBOS,KNN,SOD,COPOD,ECOD,col,col_1,LODA,IForest
Ionosphere,79.19(8),75.92(10),90.59(2),90.72(1),86.76(4),62.49(13),88.26(3),86.41(5),79.34(7),75.59(11),50.89(14),73.41(12),78.42(9),84.50(6)
landsat,35.76(14),36.15(13),53.90(7),63.55(2),53.50(8),55.14(6),57.95(4),59.54(3),41.55(11),56.61(5),63.61(1),43.92(10),38.17(12),47.64(9)
letter,50.29(12),46.18(14),84.49(2),75.62(5),80.03(4),59.74(7),86.19(1),84.09(3),54.32(9),50.76(10),56.64(8),50.42(11),50.24(13),61.07(6)
Lymphography,99.82(2),99.54(4),89.86(9),99.83(1),90.85(8),99.49(6),55.91(13),72.49(11),99.48(7),99.52(5),32.29(14),72.11(12),85.55(10),99.81(3)
magic.gamma,67.22(9),60.65(12),68.51(6),75.13(3),66.64(10),70.86(5),82.38(1),75.40(2),68.33(7),64.36(11),60.26(13),58.58(14),68.02(8),73.25(4)
mammography,88.72(3),84.95(6),74.39(12),83.74(9),77.53(11),86.27(5),84.53(7),81.51(10),90.69(2),90.75(1),56.98(13),N/A(N/A),83.91(8),86.39(4)
mnist,85.29(1),82.95(3),67.13(11),79.45(6),70.78(9),60.42(12),80.58(5),60.10(13),77.74(7),84.60(2),53.40(14),67.23(10),72.27(8),80.98(4)
musk,100.00(3),80.58(8),41.18(13),100.00(1),38.69(14),100.00(1),69.89(11),74.09(10),94.20(7),95.11(6),43.52(12),76.85(9),95.11(5),99.99(4)
optdigits,51.65(11),54.00(10),56.10(9),87.51(1),49.15(12),81.63(2),41.73(13),58.92(8),68.71(4),61.04(7),38.89(14),62.57(5),61.74(6),70.92(3)
PageBlocks,90.64(2),88.76(5),75.90(12),85.04(7),72.65(13),80.58(10),81.94(9),77.75(11),88.05(6),90.92(1),57.77(14),89.61(3),83.34(8),89.57(4)
pendigits,93.73(3),93.75(2),47.99(12),90.40(7),45.07(13),93.04(4),72.95(9),66.29(10),90.68(6),91.22(5),39.92(14),64.22(11),89.10(8),94.76(1)
Pima,70.77(5),66.92(7),65.71(9),71.42(3),61.05(11),71.07(4),73.43(1),61.25(10),69.10(6),51.54(13),51.03(14),55.92(12),65.93(8),72.87(2)
satellite,59.62(10),59.02(11),55.88(12),71.32(3),54.74(14),74.80(2),65.18(5),63.96(6),63.20(7),75.06(1),55.30(13),62.33(8),61.98(9),70.43(4)
satimage-2,97.62(4),97.35(6),47.36(14),99.84(1),56.70(12),97.65(3),92.60(10),83.08(11),97.21(7),97.11(8),53.14(13),96.29(9),97.56(5),99.16(2)
shuttle,98.62(5),97.40(7),57.11(12),83.48(8),51.72(14),98.63(4),69.64(9),69.51(10),99.35(3),99.40(2),52.05(13),97.92(6),60.95(11),99.56(1)
skin,45.26(10),49.45(6),46.47(8),69.49(2),41.66(12),60.15(5),71.46(1),60.35(4),47.55(7),39.09(13),44.05(11),N/A(N/A),45.75(9),68.21(3)
smtp,88.41(3),80.70(4),71.84(10),79.68(5),79.60(6),70.52(12),89.62(2),59.85(14),79.09(7),71.86(9),78.24(8),71.32(11),67.43(13),89.73(1)
SpamBase,54.66(6),52.47(9),43.33(11),54.97(5),40.96(13),64.74(4),53.35(8),52.35(10),70.09(1),66.89(2),53.55(7),N/A(N/A),41.99(12),64.76(3)
speech,50.79(9),50.19(13),52.48(6),50.58(12),55.97(1),50.59(11),51.03(8),55.86(2),52.89(4),51.58(7),53.43(3),52.75(5),49.84(14),50.74(10)
Stamps,91.47(2),83.86(8),51.26(14),68.18(11),53.81(13),90.73(5),68.61(10),73.26(9),93.40(1),91.41(3),55.84(12),88.88(6),87.18(7),91.21(4)
thyroid,96.34(3),87.92(10),86.86(11),94.73(6),90.87(9),95.62(5),95.93(4),92.81(8),94.30(7),97.78(2),49.64(14),79.75(12),74.30(13),98.30(1)
vertebral,37.06(8),37.99(6),49.29(2),41.41(4),48.71(3),28.56(13),33.79(11),40.32(5),25.64(14),37.51(7),36.67(9),53.20(1),30.57(12),36.66(10)
vowels,65.29(9),61.59(10),93.12(3),89.92(5),94.04(2),72.21(7),97.26(1),92.65(4),53.15(12),45.81(14),52.49(13),60.58(11),70.36(8),73.94(6)
Waveform,65.48(10),56.29(12),73.32(3),72.42(6),72.56(5),68.77(8),73.78(2),68.57(9),75.03(1),73.25(4),54.47(13),49.35(14),60.13(11),71.47(7)
WBC,98.20(7),99.03(4),54.17(13),99.46(1),60.90(11),98.72(6),90.56(10),94.60(9),99.11(2),99.11(2),55.50(12),N/A(N/A),96.91(8),99.01(5)
WDBC,99.05(4),98.86(6),89.00(12),99.32(3),96.26(9),99.50(1),91.72(11),91.90(10),99.42(2),97.20(8),65.69(14),76.67(13),98.26(7),98.95(5)
Wilt,20.39(14),31.28(12),50.65(2),32.54(10),49.66(3),32.49(11),48.42(4),53.25(1),33.40(9),39.43(7),46.08(5),37.29(8),26.42(13),41.94(6)
wine,84.37(4),73.07(6),37.74(13),25.86(14),44.44(12),91.36(1),44.98(11),46.11(10),88.65(3),71.34(7),59.52(9),61.70(8),90.12(2),80.37(5)
WPBC,46.01(10),45.35(12),41.41(14),44.77(13),45.88(11),51.24(1),46.59(9),51.14(2),49.34(4),46.83(7),49.79(3),47.80(6),49.31(5),46.63(8)
yeast,41.15(7),41.00(9),45.31(2),44.85(3),44.48(5),39.64(10),39.06(12),42.46(6),36.99(14),39.61(11),47.92(1),41.11(8),44.58(4),37.76(13)
CIFAR10,63.87(6),63.76(7),68.57(1),64.23(4),64.70(3),57.50(13),64.75(2),64.22(5),58.64(11),61.04(10),56.04(14),58.08(12),62.34(8),61.28(9)
FashionMNIST,86.09(3),85.24(4),67.57(12),88.17(1),71.44(11),78.68(10),86.60(2),81.73(7),81.07(8),83.63(6),63.32(14),67.29(13),80.28(9),84.89(5)
MNIST-C,73.75(5),72.21(8),68.27(12),80.86(2),69.81(11),70.82(10),81.26(1),74.00(4),71.26(9),72.64(7),51.85(14),58.56(13),74.37(3),73.74(6)
MVTec-AD,72.42(8),69.84(10),74.19(2),75.98(1),69.70(11),73.36(4),72.96(6),71.57(9),72.91(7),73.46(3),57.10(14),66.47(13),68.51(12),73.19(5)
SVHN,60.53(6),60.73(5),64.51(1),60.30(7),63.47(2),56.08(13),62.63(3),61.09(4),56.75(12),58.27(9),53.47(14),57.22(11),58.26(10),58.62(8)
Agnews,54.70(8),54.34(9),71.80(1),60.02(5),68.97(2),53.87(10),64.11(3),62.81(4),52.98(12),53.04(11),42.51(14),52.02(13),55.47(7),56.74(6)
Amazon,55.06(10),54.14(12),56.11(9),57.36(3),56.96(4),56.52(7),60.03(2),60.05(1),56.94(5),56.79(6),39.08(14),53.58(13),54.20(11),56.13(8)
Imdb,47.06(12),46.07(14),48.71(9),49.35(6),49.64(5),49.10(7),47.83(10),49.86(4),50.68(3),50.73(1),50.73(2),47.67(11),46.43(13),49.09(8)
Yelp,60.71(11),60.28(12),67.09(3),64.90(5),66.11(4),61.85(9),69.84(1),67.74(2),62.36(7),62.15(8),54.62(14),56.28(13),61.36(10),62.53(6)
20news,56.66(7),56.45(8),62.14(1),57.59(5),61.80(2),56.28(9),59.33(3),58.56(4),55.79(11),56.00(10),50.24(14),54.17(13),55.53(12),56.90(6)
