Datasets,GANomaly,DeepSAD,REPEN,DevNet,PReNet,FEAWAD,XGBOD,NB,SVM,MLP,ResNet,Transformer,RF,LGB,XGB,CatB
satellite,65.05,67.43,71.23,79.41,77.14,75.32,70.55,73.2,44.82,60.43,50.63,70.54,48.47,60.63,58.41,70.24
satimage-2,43.15,40.06,85.7,89.99,92.2,94.21,46.18,1.21,30.29,2.87,78.32,88.59,33.82,9.1,85.77,88.73
shuttle,46.19,96.4,97.27,96.52,96.5,96.39,95.52,90.4,86.8,25.53,88.44,96.06,20.75,54.32,91.09,94.95
skin,21.98,83.45,58.19,68.55,66.43,87.83,77.24,84.91,98.57,60.08,94.57,88.78,31.08,61.98,83.77,95.74
smtp,21.46,61.13,41.68,50.02,66.68,25.12,50.02,0.04,17.73,38.92,11.71,33.94,50.01,0.04,50.01,28.13
SpamBase,40.69,45.89,63.07,75.16,72.64,60.04,68.17,53.63,34.12,56.96,43.22,71.31,48.87,66.16,67.01,76.82
speech,1.61,2.44,2.41,3.0,2.97,3.15,2.06,1.63,3.48,1.81,1.89,1.93,1.65,1.69,1.5,2.04
Stamps,29.94,15.9,53.59,48.27,49.94,38.55,27.26,11.6,39.29,18.26,26.67,52.8,15.95,24.17,30.14,34.72
thyroid,53.25,38.94,79.14,74.23,79.44,62.31,45.13,2.47,12.08,17.01,21.29,57.06,13.43,2.47,73.72,58.56
vertebral,10.6,16.44,20.03,31.27,30.37,38.38,20.29,15.98,21.77,18.8,24.05,20.58,15.98,26.33,28.37,23.74
vowels,24.96,18.93,29.27,34.85,38.61,42.34,34.97,7.72,20.88,2.02,37.55,24.53,23.54,26.69,29.55,38.45
Waveform,4.44,12.5,4.5,9.0,6.65,3.73,7.21,2.9,5.54,4.17,13.56,6.82,3.5,4.38,4.2,6.74
WBC,42.31,56.3,73.49,83.17,81.48,68.44,65.07,12.94,13.72,34.75,46.09,81.78,28.14,60.18,86.33,76.8
WDBC,59.54,39.38,91.29,98.21,96.59,94.21,68.19,14.48,10.09,1.64,44.39,97.13,78.8,88.39,74.97,77.12
Wilt,4.6,9.71,5.07,8.33,8.23,10.67,12.08,11.15,12.45,8.0,22.71,7.12,8.56,7.61,15.87,17.13
wine,14.75,18.73,83.97,99.85,100.0,92.74,59.74,19.47,8.11,4.72,45.56,91.62,23.51,59.17,77.45,53.41
WPBC,22.57,27.27,29.49,33.66,34.91,32.97,29.67,29.23,23.0,22.31,37.53,31.41,28.75,29.39,29.14,27.87
yeast,33.7,33.95,32.36,41.43,40.74,38.78,41.68,41.84,43.43,34.25,32.88,41.49,35.62,36.72,36.05,36.73
CIFAR10,9.2,9.16,11.62,13.02,12.66,13.67,13.31,5.0,12.8,10.29,9.82,10.54,5.71,8.04,12.8,12.91
FashionMNIST,21.07,32.45,26.71,39.41,39.84,45.76,40.81,5.01,15.81,31.85,17.53,27.08,9.33,11.47,38.78,36.64
MNIST-C,22.44,29.2,38.69,64.55,60.66,48.14,50.35,5.39,23.36,48.01,10.85,42.3,22.23,12.95,48.65,46.0
MVTec-AD,57.38,45.33,55.41,44.41,44.31,44.85,42.43,25.76,28.76,43.84,35.13,47.87,35.63,42.25,41.85,60.55
SVHN,8.12,7.7,10.36,12.08,10.45,11.13,10.31,5.07,7.16,8.67,8.5,11.12,5.55,7.69,10.25,10.22
Agnews,6.74,10.92,16.93,25.45,26.51,20.22,13.7,5.78,16.41,9.48,15.02,7.93,5.31,8.3,13.26,9.54
Amazon,6.19,7.32,9.62,16.14,17.3,13.57,9.05,5.51,3.57,7.12,13.17,8.67,5.22,8.36,9.97,6.95
Imdb,4.88,6.09,7.73,9.4,8.95,7.8,8.08,5.66,9.0,5.79,8.89,5.75,5.09,6.17,8.77,5.59
Yelp,9.03,9.04,17.12,20.32,19.42,17.3,13.4,6.49,8.33,11.38,14.27,11.38,5.37,8.5,12.83,12.21
20news,7.2,10.52,7.95,10.3,9.85,7.97,7.55,4.83,7.99,7.85,7.3,6.11,8.6,9.35,7.96,7.84
