Datasets,GANomaly,DeepSAD,REPEN,DevNet,PReNet,FEAWAD,XGBOD,NB,SVM,MLP,ResNet,Transformer,RF,LGB,XGB,CatB
musk,89.43,100.0,100.0,100.0,100.0,100.0,100.0,98.89,96.06,100.0,99.61,100.0,100.0,100.0,100.0,100.0
optdigits,3.35,99.28,99.8,99.82,99.79,99.64,98.29,66.18,96.78,99.53,89.41,98.37,98.33,98.16,98.02,98.28
PageBlocks,47.07,85.33,77.01,65.91,68.9,81.16,85.88,55.61,81.9,81.41,86.07,85.76,88.3,88.05,87.54,89.57
pendigits,3.95,99.62,97.64,92.11,94.2,95.69,98.76,94.1,95.05,97.09,93.89,98.98,99.61,98.75,98.44,99.9
Pima,46.44,63.68,58.93,70.59,70.65,69.24,83.0,71.56,65.62,72.61,72.61,71.62,84.52,84.01,82.9,83.37
satellite,64.49,90.64,78.93,83.13,82.98,73.22,92.24,75.54,88.3,86.78,83.03,89.55,93.39,91.35,90.83,93.3
satimage-2,46.44,95.7,93.59,92.7,92.06,93.36,90.73,92.42,90.37,90.31,85.55,94.64,92.59,91.02,90.4,93.15
shuttle,39.31,98.14,97.33,96.48,96.56,96.93,99.79,95.86,96.38,96.17,97.74,97.09,99.04,99.47,99.22,99.59
skin,22.13,99.37,48.91,70.1,67.81,89.22,99.63,86.56,98.66,99.34,99.46,99.2,99.02,99.39,99.4,99.6
smtp,21.46,58.81,50.05,66.7,66.69,17.13,50.25,0.06,50.01,50.03,44.46,33.96,100.0,0.04,50.83,83.33
SpamBase,43.43,90.36,87.16,86.9,90.31,90.81,96.06,68.15,88.95,95.32,90.79,91.83,94.37,95.69,94.75,96.68
speech,1.62,5.05,28.47,17.48,17.72,14.2,8.31,16.74,30.2,17.87,25.25,16.61,6.86,12.87,5.81,5.48
Stamps,32.4,75.43,85.74,76.84,83.82,84.79,96.59,88.68,77.98,89.24,90.13,96.58,94.72,96.78,95.4,97.32
thyroid,54.41,88.09,92.67,93.47,92.87,92.66,96.13,90.49,75.4,90.97,85.62,91.3,93.64,93.48,94.22,95.04
vertebral,11.11,59.43,48.61,45.64,47.55,68.44,94.9,51.93,69.01,29.56,92.49,83.8,94.77,95.83,95.17,95.67
vowels,26.48,65.76,88.9,90.64,92.03,77.14,72.46,70.96,87.04,69.94,82.61,91.83,76.77,84.74,76.41,89.15
Waveform,4.48,34.85,20.18,18.23,19.39,22.08,40.77,14.57,57.61,42.15,36.74,36.86,35.78,37.47,37.65,42.67
WBC,44.19,75.58,90.6,91.52,87.99,72.5,96.67,87.71,75.58,81.24,83.81,92.75,94.83,92.01,92.15,96.59
WDBC,60.49,93.82,100.0,100.0,100.0,100.0,94.07,100.0,83.41,100.0,88.11,100.0,99.54,97.63,97.1,100.0
Wilt,3.93,80.95,7.44,8.15,8.41,45.54,84.14,39.55,81.37,8.31,83.54,61.97,85.74,78.64,81.66,87.16
wine,18.91,98.82,100.0,100.0,100.0,100.0,100.0,100.0,92.62,100.0,100.0,100.0,100.0,100.0,100.0,100.0
WPBC,23.41,76.66,61.31,62.91,63.83,73.9,93.52,48.36,71.93,74.68,90.46,89.62,90.45,92.69,93.58,93.95
yeast,33.33,48.18,34.34,48.71,49.38,51.4,56.01,45.44,40.07,50.76,51.57,57.82,57.11,54.62,55.49,61.24
CIFAR10,9.27,26.7,37.92,35.42,34.62,28.25,35.17,7.41,28.54,26.97,23.86,19.38,14.98,34.03,34.29,35.23
FashionMNIST,21.7,73.62,81.48,81.65,80.38,71.13,79.7,22.68,72.33,67.38,63.52,59.75,61.88,80.5,80.09,81.92
MNIST-C,19.01,82.75,42.17,86.63,86.55,82.38,83.19,26.52,83.53,83.15,72.6,76.25,79.56,83.74,84.14,84.27
MVTec-AD,58.2,86.43,55.61,83.77,81.43,83.13,91.24,48.81,77.94,82.96,82.16,84.39,90.59,91.38,91.91,92.9
SVHN,7.95,22.28,30.55,31.55,32.45,25.91,26.62,5.22,26.84,25.11,24.03,16.38,12.82,28.27,27.02,28.07
Agnews,6.58,60.2,61.87,56.52,59.48,60.71,54.63,7.75,61.84,72.01,58.21,47.78,18.29,56.47,56.49,59.21
Amazon,6.12,28.98,32.04,31.11,30.51,28.61,27.9,5.11,29.65,39.21,23.66,19.34,7.79,26.09,29.0,28.0
Imdb,4.84,32.95,25.92,26.55,26.38,24.38,28.73,7.27,23.73,39.64,30.03,22.33,7.31,26.0,26.24,28.96
Yelp,9.19,45.29,49.5,47.93,49.14,39.24,42.28,6.5,48.98,59.67,40.32,34.63,11.37,40.41,40.66,44.61
20news,7.33,28.66,7.73,36.72,37.02,30.81,26.29,5.34,32.63,41.92,28.94,25.87,19.54,25.55,30.33,28.04
