Datasets,GANomaly,DeepSAD,REPEN,DevNet,PReNet,FEAWAD,XGBOD,NB,SVM,MLP,ResNet,Transformer,RF,LGB,XGB,CatB
Ionosphere,89.61,75.93,91.77,73.16,72.43,64.91,89.44,78.95,78.91,72.4,52.41,69.89,68.82,85.65,84.23,91.91
landsat,18.65,61.79,32.54,42.02,44.52,54.25,66.48,28.7,49.87,49.94,42.49,63.58,52.28,58.99,57.87,67.36
letter,16.05,19.29,15.5,21.63,20.08,17.75,32.96,7.12,6.41,7.5,35.1,13.79,12.94,20.11,14.59,15.86
Lymphography,65.56,48.29,77.07,79.51,73.13,79.81,62.57,48.61,4.11,65.73,72.61,77.96,58.25,77.9,63.53,94.69
magic.gamma,46.45,70.93,71.7,71.94,75.37,75.45,74.24,68.48,43.9,77.42,57.12,69.98,64.44,67.02,64.42,71.1
mammography,14.95,49.12,56.56,62.12,58.66,55.7,40.3,54.35,16.23,51.74,36.86,50.87,31.49,31.77,34.62,48.38
mnist,17.15,51.61,73.58,79.51,75.34,63.18,75.45,11.02,52.33,61.71,38.39,67.5,58.05,63.5,68.15,79.49
musk,72.41,78.34,80.43,100.0,100.0,100.0,97.87,67.72,36.02,100.0,56.84,98.27,64.32,64.29,97.48,94.29
optdigits,3.24,58.85,98.15,99.53,99.49,99.12,74.22,45.46,45.98,94.68,27.84,86.67,64.76,44.94,67.27,77.46
PageBlocks,40.76,71.06,69.4,64.88,70.08,73.71,69.26,49.36,36.93,69.71,51.49,64.04,46.43,65.42,69.99,77.23
pendigits,2.86,75.95,96.17,93.7,93.22,95.16,71.88,88.54,48.55,78.34,37.95,87.36,49.91,28.83,79.3,78.5
Pima,44.07,48.95,54.73,64.16,61.63,48.35,56.16,59.8,36.39,27.21,41.58,52.97,52.55,58.51,57.16,58.49
satellite,64.72,79.24,80.04,82.2,82.04,80.13,82.43,75.43,51.19,82.44,69.33,81.12,71.14,75.62,73.46,81.83
satimage-2,43.73,82.89,90.44,91.71,91.23,93.64,81.62,79.87,36.72,78.51,66.25,90.03,66.05,20.0,80.72,85.76
shuttle,48.6,97.27,97.39,96.44,96.39,96.16,98.51,93.02,93.64,95.66,96.49,95.68,58.8,91.64,95.04,97.62
skin,22.33,94.25,52.32,70.09,67.14,88.12,96.46,87.93,97.48,80.51,99.06,94.93,62.52,95.94,94.23,98.61
smtp,21.46,61.13,41.68,50.02,66.68,17.07,50.02,0.04,17.73,38.92,11.71,33.94,50.01,0.04,50.01,28.13
SpamBase,40.85,59.54,76.52,85.0,86.26,78.65,84.15,64.79,61.85,83.16,52.0,82.53,71.29,77.88,75.78,88.53
speech,1.61,2.71,6.16,6.61,6.72,5.87,4.35,1.63,6.86,5.66,5.32,4.73,2.49,2.62,4.24,3.1
Stamps,30.08,23.23,72.09,70.21,75.41,57.38,68.45,75.44,23.4,37.12,49.19,72.13,40.39,53.46,62.74,71.24
thyroid,53.94,55.16,89.64,90.04,89.9,87.55,82.37,83.65,28.1,28.82,17.88,83.7,43.07,36.51,80.89,78.27
vertebral,10.63,20.53,26.66,34.4,32.69,42.67,34.07,40.97,34.32,18.91,38.86,43.7,26.74,42.64,49.73,43.25
vowels,25.13,21.09,43.19,48.91,53.44,42.84,36.08,24.46,21.71,2.04,43.68,35.62,26.08,29.38,24.13,43.8
Waveform,4.45,17.6,12.85,14.68,12.3,10.25,15.3,12.95,10.25,4.64,11.93,18.62,8.02,7.72,14.03,16.83
WBC,41.59,57.93,78.08,81.25,80.25,63.23,46.53,33.0,15.8,47.04,54.21,81.2,59.58,58.91,56.07,84.41
WDBC,59.54,39.38,91.29,98.21,96.59,93.68,68.19,14.48,10.09,1.64,44.39,97.13,78.8,88.39,74.97,77.12
Wilt,4.32,19.38,5.87,8.15,8.6,32.59,30.99,23.12,25.08,8.04,49.01,7.97,18.34,36.59,35.73,53.36
wine,14.98,37.92,99.15,100.0,100.0,98.44,78.2,88.68,8.11,4.76,80.39,98.23,51.74,78.46,82.05,93.48
WPBC,22.58,29.86,30.72,40.76,45.11,37.69,45.79,30.99,22.58,25.35,51.48,42.56,39.91,45.02,47.26,44.02
yeast,33.03,36.31,34.39,46.72,46.6,45.3,40.33,46.69,45.58,34.25,39.43,42.77,40.52,41.03,39.8,45.11
CIFAR10,9.2,12.26,19.48,21.16,20.79,20.18,20.99,5.2,13.12,15.32,12.47,9.65,7.28,15.73,20.75,18.09
FashionMNIST,20.85,43.56,52.54,63.79,62.12,53.7,58.51,7.3,26.71,39.01,29.1,32.29,17.85,41.07,55.06,53.91
MNIST-C,23.82,50.4,41.8,79.16,77.18,68.81,68.12,16.48,43.62,53.99,22.67,50.44,51.65,49.38,67.07,66.16
MVTec-AD,57.54,52.5,54.55,56.29,56.07,52.41,61.21,28.19,36.03,50.02,41.82,53.25,54.04,60.76,62.34,68.54
SVHN,8.06,9.01,14.41,16.42,14.49,14.37,13.21,5.04,12.47,9.4,10.32,7.89,6.26,12.36,13.58,12.22
Agnews,6.57,18.33,31.9,38.88,40.66,31.13,25.59,5.33,22.31,38.12,18.92,16.69,6.02,20.91,24.5,21.28
Amazon,6.21,10.13,14.18,24.33,25.09,20.95,15.1,5.16,16.34,21.22,10.4,10.35,5.21,11.86,14.95,13.77
Imdb,4.9,8.34,14.59,19.02,18.5,17.09,12.45,5.3,13.91,14.56,12.68,7.37,5.42,9.44,12.38,15.03
Yelp,8.93,9.8,24.41,31.59,30.85,28.52,20.23,6.16,19.88,31.77,15.36,15.28,6.44,15.04,21.52,15.03
20news,7.17,12.76,6.79,17.88,17.64,12.65,15.69,6.05,10.87,12.97,13.19,6.88,11.4,13.1,17.06,13.32
